time_step,acceleration
0.674,0.00932
0.676,0.007662
0.678,0.005624
0.68,0.003232
0.682,0.000601
0.684,-0.001891
0.686,-0.004329
0.688,-0.006373
0.69,-0.008062
0.692,-0.009003
0.694,-0.009442
0.696,-0.009145
0.698,-0.008239
0.7,-0.006726
0.702,-0.004869
0.704,-0.002614
0.706,-0.000199
0.708,0.002367
0.71,0.004796
0.712,0.006957
0.714,0.008812
0.716,0.010082
0.718,0.010837
0.72,0.010954
0.722,0.010394
0.724,0.009279
0.726,0.007617
0.728,0.005523
0.73,0.00304
0.732,0.000443
0.734,-0.002119
0.736,-0.004449
0.738,-0.006357
0.74,-0.008002
0.742,-0.009007
0.744,-0.009401
0.746,-0.009067
0.748,-0.00816
0.75,-0.006723
0.752,-0.004831
0.754,-0.002605
0.756,-0.00011
0.758,0.002512
0.76,0.004882
0.762,0.007109
0.764,0.008853
0.766,0.010132
0.768,0.010853
0.77,0.010973
0.772,0.01041
0.774,0.009175
0.776,0.007491
0.778,0.0054
0.78,0.00303
0.782,0.000354
0.784,-0.002134
0.786,-0.004519
0.788,-0.006559
0.79,-0.008034
0.792,-0.009079
0.794,-0.009414
0.796,-0.00912
0.798,-0.008163
0.8,-0.006575
0.802,-0.004696
0.804,-0.002428
0.806,0.000073
0.808,0.002588
0.81,0.005046
0.812,0.007093
0.814,0.008929
0.816,0.010148
0.818,0.01089
0.82,0.010887
0.822,0.010315
0.824,0.009197
0.826,0.007403
0.828,0.005292
0.83,0.002853
0.832,0.000199
0.834,-0.002308
0.836,-0.004648
0.838,-0.006527
0.84,-0.008106
0.842,-0.009057
0.844,-0.009427
0.846,-0.009025
0.848,-0.008097
0.85,-0.006625
0.852,-0.004614
0.854,-0.002327
0.856,0.000174
0.858,0.002749
0.86,0.005153
0.862,0.007242
0.864,0.008982
0.866,0.010195
0.868,0.010884
0.87,0.010906
0.872,0.010309
0.874,0.009077
0.876,0.007333
0.878,0.005286
0.88,0.002793
0.882,0.000206
0.884,-0.002422
0.886,-0.004749
0.888,-0.006651
0.89,-0.008173
0.892,-0.009085
0.894,-0.00943
0.896,-0.009067
0.898,-0.007977
0.9,-0.006433
0.902,-0.004462
0.904,-0.002169
0.906,0.000263
0.908,0.002809
0.91,0.005172
0.912,0.007245
0.914,0.009014
0.916,0.010214
0.918,0.010881
0.92,0.010909
0.922,0.010227
0.924,0.00909
0.926,0.007219
0.928,0.005103
0.93,0.002632
0.932,0.000042
0.934,-0.002507
0.936,-0.004775
0.938,-0.006748
0.94,-0.008226
0.942,-0.009205
0.944,-0.009414
0.946,-0.009035
0.948,-0.008015
0.95,-0.006445
0.952,-0.004402
0.954,-0.002078
0.956,0.000389
0.958,0.002916
0.96,0.005292
0.962,0.007437
0.964,0.009014
0.966,0.01023
0.968,0.010872
0.97,0.010853
0.972,0.010205
0.974,0.008856
0.976,0.0072
0.978,0.005033
0.98,0.002604
0.982,-0.000041
0.984,-0.002592
0.986,-0.004923
0.988,-0.006821
0.99,-0.008271
0.992,-0.009209
0.994,-0.009468
0.996,-0.009032
0.998,-0.007794
1,-0.006294
1.002,-0.004323
1.004,-0.002002
1.006,0.000465
1.008,0.003024
1.01,0.005374
1.012,0.007485
1.014,0.009109
1.016,0.0103
1.018,0.010957
1.02,0.010906
1.022,0.010167
1.024,0.008951
1.026,0.00702
1.028,0.004803
1.03,0.002405
1.032,-0.000167
1.034,-0.002681
1.036,-0.004993
1.038,-0.006894
1.04,-0.008204
1.042,-0.009193
1.044,-0.009338
1.046,-0.008962
1.048,-0.007933
1.05,-0.006243
1.052,-0.004197
1.054,-0.001863
1.056,0.000639
1.058,0.003204
1.06,0.005558
1.062,0.007561
1.064,0.009137
1.066,0.010347
1.068,0.010859
1.07,0.010818
1.072,0.010088
1.074,0.008802
1.076,0.006919
1.078,0.004809
1.08,0.00231
1.082,-0.000331
1.084,-0.002832
1.086,-0.005119
1.088,-0.006985
1.09,-0.008394
1.092,-0.009171
1.094,-0.00942
1.096,-0.008924
1.098,-0.00775
1.1,-0.006189
1.102,-0.004102
1.104,-0.001727
1.106,0.000718
1.108,0.003264
1.11,0.005611
1.112,0.007605
1.114,0.009292
1.116,0.010382
1.118,0.01095
1.12,0.01084
1.122,0.010072
1.124,0.008748
1.126,0.006926
1.128,0.004619
1.13,0.002174
1.132,-0.000375
1.134,-0.002899
1.136,-0.005144
1.138,-0.007017
1.14,-0.008346
1.142,-0.009199
1.144,-0.009411
1.146,-0.008861
1.148,-0.007709
1.15,-0.00612
1.152,-0.003991
1.154,-0.001661
1.156,0.000797
1.158,0.003356
1.16,0.005706
1.162,0.007738
1.164,0.00933
1.166,0.010451
1.168,0.010954
1.17,0.010729
1.172,0.010019
1.174,0.008682
1.176,0.006815
1.178,0.004622
1.18,0.002082
1.182,-0.000505
1.184,-0.003009
1.186,-0.005252
1.188,-0.00715
1.19,-0.008444
1.192,-0.009288
1.194,-0.009335
1.196,-0.008842
1.198,-0.007658
1.2,-0.005975
1.202,-0.003897
1.204,-0.001579
1.206,0.000932
1.208,0.003498
1.21,0.005782
1.212,0.007829
1.214,0.009342
1.216,0.010467
1.218,0.010966
1.22,0.010849
1.222,0.010047
1.224,0.008591
1.226,0.006667
1.228,0.004427
1.23,0.001988
1.232,-0.000581
1.234,-0.003167
1.236,-0.005356
1.238,-0.007222
1.24,-0.008435
1.242,-0.00931
1.244,-0.009376
1.246,-0.00882
1.248,-0.007677
1.25,-0.005943
1.252,-0.003821
1.254,-0.001503
1.256,0.001087
1.258,0.003548
1.26,0.005946
1.262,0.007918
1.264,0.009437
1.266,0.010499
1.268,0.010919
1.27,0.010685
1.272,0.009886
1.274,0.008515
1.276,0.006619
1.278,0.004329
1.28,0.001934
1.282,-0.000716
1.284,-0.003221
1.286,-0.005495
1.288,-0.007244
1.29,-0.008618
1.292,-0.009256
1.294,-0.009344
1.296,-0.008785
1.298,-0.007554
1.3,-0.00582
1.302,-0.003691
1.304,-0.001316
1.306,0.001188
1.308,0.003684
1.31,0.005943
1.312,0.007949
1.314,0.009529
1.316,0.010483
1.318,0.010947
1.32,0.010786
1.322,0.009898
1.324,0.00847
1.326,0.006518
1.328,0.004243
1.33,0.001716
1.332,-0.000868
1.334,-0.003328
1.336,-0.005514
1.338,-0.007203
1.34,-0.008618
1.342,-0.00931
1.344,-0.009332
1.346,-0.008757
1.348,-0.007576
1.35,-0.005754
1.352,-0.003584
1.354,-0.001196
1.356,0.001312
1.358,0.003728
1.36,0.006101
1.362,0.008034
1.364,0.009592
1.366,0.010565
1.368,0.010992
1.37,0.010745
1.372,0.009807
1.374,0.008426
1.376,0.006398
1.378,0.004174
1.38,0.001662
1.382,-0.000947
1.384,-0.003451
1.386,-0.005612
1.388,-0.007418
1.39,-0.008643
1.392,-0.009325
1.394,-0.009357
1.396,-0.008776
1.398,-0.007399
1.4,-0.00563
1.402,-0.003533
1.404,-0.001174
1.406,0.001372
1.408,0.003861
1.41,0.006196
1.412,0.008072
1.414,0.00962
1.416,0.010587
1.418,0.011052
1.42,0.010707
1.422,0.009788
1.424,0.008319
1.426,0.006338
1.428,0.004054
1.43,0.00152
1.432,-0.001092
1.434,-0.003537
1.436,-0.0057
1.438,-0.007494
1.44,-0.008713
1.442,-0.009307
1.444,-0.009237
1.446,-0.008634
1.448,-0.007311
1.45,-0.005577
1.452,-0.003477
1.454,-0.000998
1.456,0.001451
1.458,0.004016
1.46,0.006278
1.462,0.008136
1.464,0.009627
1.466,0.01054
1.468,0.010976
1.47,0.010657
1.472,0.009728
1.474,0.00824
1.476,0.006259
1.478,0.003991
1.48,0.001432
1.482,-0.001133
1.484,-0.003657
1.486,-0.00582
1.488,-0.007535
1.49,-0.00882
1.492,-0.009354
1.494,-0.009363
1.496,-0.008653
1.498,-0.007339
1.5,-0.005495
1.502,-0.003306
1.504,-0.000893
1.506,0.001609
1.508,0.004107
1.51,0.006303
